関係機関一覧（令和４年２月１日現在）,,,,,,,,,,,,,,,,,,,,,,,
区市町村名,ＨＰ,名称,郵便番号,住所,最寄駅,"交通経路
（最寄り駅から徒歩何分か等）",電話番号,"対応可能な
相談内容",支援の実施内容,,,,,,,,,対象年齢,,,,,備考
,,,,,,,,,相談支援,早期発見,発達支援,巡回相談,就労支援,日中活動等生活支援,普及啓発,研修等人材育成,その他,乳幼児,小学生,中学生,高校生,成人,
千代田区,障害福祉主管課,障害者福祉課総合相談担当,102-8688,千代田区九段南1-2-1,九段下,徒歩5分,03-5211-4217,精神障害者保健福祉手帳に関する相談,○,,,,,,,,,,,,,○,
,保健所・保健センター,千代田保健所,102-0073,千代田区九段北1-2-14,九段下,徒歩1分,03-5211-8175,発達相談、育児相談、精神保健相談,○,○,,,,,,,,○,○,○,○,○,
,児童福祉主管課,"児童・家庭支援センター
発達支援係",101-0048,千代田区神田司町2-16神田さくら館6階,神田、小川町、淡路町,徒歩5分,03-5298-2424,発達相談、就学相談、障害児通所支援,○,○,○,○,,,○,,,○,○,○,○,,
,児童福祉主管課,千代田区子ども発達センター （さくらキッズ）,101-0048,千代田区神田司町2-16神田さくら館6階,神田、小川町、淡路町,徒歩5分,03-3256-8162,発達相談、療育指導,○,○,○,,,,,,,○,○,,,,＊小学生は１年生まで
,相談支援事業所,子ども発達センター,101-0048,千代田区神田司町2-16神田さくら館6階,神田、小川町、淡路町,徒歩5分,03⁻5296⁻9282,"障害児相談支援、
発達相談",○,,○,,,,,,,○,○,○,○,,
,相談支援事業所,障害者福祉センターえみふる,101-0062,千代田区神田駿河台2-5,御茶ノ水,徒歩5分,03-3291-0600,精神保健相談、関係機関紹介等,○,,,,,,,,,,,,,○,
,"障害者就労支援センター
就労支援センター",千代田区障害者就労支援センター,102-8688,千代田区九段南1-2-1,九段下,徒歩5分,03-3264-2153,就労相談,,,,,○,,○,,,,,,,○,
,その他関係機関,子ども発達センターさくらキッズ,101-0048,千代田区神田司町2-16神田さくら館6階,神田、小川町、淡路町,徒歩5分,03-3256-8162,発達相談、育児相談,○,○,○,○,,,,,,○,○,,,,対象は小学1年生まで
,その他関係機関,障害者よろず相談ＭＯＦＣＡ（モフカ）,100-0003,千代田区一ツ橋1-1-1パレスサイドビル1F,竹橋,駅出口1b直結,03-6269-9755,障害者よろず相談,○,,,,,,,,,,,,,,
